,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
409,Tiaret,35.38,1.08,8.24,23.14,1.45,17.22,0.28,1.62,"[0.0, 30.0]"
411,Medea,36.25,2.75,8.2,23.5,2.5,20.5,0.45,1.35,"[0.0, 30.0]"
412,Wilaya of Mostaganem,35.9182,0.0881,7.5,20.0,3.2,12.0,0.5,1.2,"[20.0, 30.0]"
413,Tebessa,35.4,8.1,8.2,23.4,2.1,20.5,0.45,1.5,"[0.0, 30.0]"
419,Tiaret,35.383333,1.316667,7.0,40.0,10.0,10.0,10.0,10.0,"[0.0, 20.0]"
430,Constantine,36.365,6.62,7.8,23.0,1.8,20.0,0.34,1.45,"[0.0, 20.0]"
433,Bejaea,36.75,5.05,7.87,23.4,2.15,14.6,0.47,1.35,"[0.0, 30.0]"
447,Batna,35.555555,6.166667,7.2,10.5,2.3,20.1,250.0,1.6,"[0.0, 20.0]"
450,Batna,35.5342,6.1956,6.2,0.0,0.0,0.0,0.0,0.0,0
452,Batna,35.5333,6.1667,7.8,23.1,2.14,24.5,0.34,1.33,"[0.0, 20.0]"
457,Biskra,34.85,5.73,7.8,4.95,1.23,12.5,0.55,1.75,"[0.0, 30.0]"
462,Tebessa,35.4,8.1167,8.1,17.5,1.8,24.1,0.21,1.32,"[0.0, 30.0]"
463,Mostaganem,35.933333,0.116667,7.82,12.33,1.22,14.51,0.25,1.53,0
469,Tiaret,35.3724,1.1333,8.3,250.0,2.5,20.0,500.0,1.6,"[0.0, 30.0]"
471,Medea,36.25,2.75,7.5,14.3,1.8,18.6,0.12,1.45,"[0.0, 30.0]"
472,Tizi-Ouzou,36.7167,4.05,7.8,21.7,2.3,25.4,0.45,1.35,"[0.0, 30.0]"
474,Skikda,37.7833,7.2667,7.27,17.5,2.17,18.3,0.8,1.73,"[0.0, 30.0]"
475,Skikda,36.879722,6.913333,7.4,24.5,1.63,14.5,450.0,1.45,"[0.0, 30.0]"
477,Skikda,36.8704,6.9156,7.8,23.5,3.5,30.5,0.45,1.35,"[0.0, 30.0]"
478,Relizane,35.7256,0.5514,7.5,4.15,2.14,10.2,0.25,1.3,8600.0
480,Tizi-Ouzou,36.7167,4.05,7.4,14.5,2.56,24.6,0.38,1.35,"[0.0, 30.0]"
482,Medea,36.2667,2.7667,7.85,23.43,2.61,14.53,0.43,1.55,"[0.0, 30.0]"
